Overall Rating,House Type,Number of Reviews,Number of beds,Number of Bath,Number of bedroom,Number of guests,Superhost,New Listing,Latitude,Longitude,Cleanliness,Accuracy,Communication,Location,Check_in,Value,Essentials,Air conditioning,Cleaning products,Cooking basics,Dryer,Heating,Hot tub,Kitchen,Pool,Washer,Wifi,Bathtub,TV,Dishwasher,Stove,Beach access,Lake access,Waterfront,BBQ grill,Fire pit,Free parking on premise,Sauna,Breakfast,Bay view,Beach view,Canal view,City skyline view,Courtyard view,Desert view,Garden view,Golf course view,Harbor view,Lake view,Marina view,Mountain view,Ocean view,Park view,Pool view,Resort view,River view,Sea view,Valley view,Vineyard view,Fireplace,Cost
4.84,Room,117,4.0,1.5,1.0,6.0,False,False,39.0040100000,-94.5896700000,4.90,4.90,4.90,5.00,4.90,4.90,True,True,True,True,True,True,False,True,False,True,True,False,True,True,True,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,78
5.00,home,3,1.0,1.0,1.0,2.0,False,False,39.2472668393,-94.4152985505,5.00,5.00,5.00,5.00,5.00,5.00,True,True,True,True,True,True,False,True,False,True,True,True,True,True,True,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,134
4.97,home,403,4.0,1.0,3.0,8.0,True,False,39.0455000000,-94.4725000000,5.00,5.00,5.00,4.90,5.00,4.90,True,True,True,True,True,True,False,True,False,True,True,True,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,227
4.80,condo,512,3.0,1.0,2.0,5.0,False,False,39.0566000000,-94.6059000000,4.70,4.90,4.90,4.90,4.90,4.80,True,True,True,True,True,True,False,True,False,True,True,True,True,True,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,143
4.91,guest suite,302,4.0,1.0,1.0,5.0,True,False,39.0366700000,-94.6046900000,5.00,5.00,5.00,5.00,4.90,4.90,True,True,True,False,True,True,False,True,False,True,True,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,139
4.72,home ,113,2.0,1.0,2.0,6.0,False,False,39.0540400000,-94.6145700000,4.60,4.80,4.90,4.70,4.90,4.60,True,True,True,True,True,True,False,True,False,True,True,True,True,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,146
4.79,loft,52,1.0,1.0,1.0,2.0,False,False,39.1079000000,-94.5894000000,4.60,4.90,4.80,4.70,4.70,4.70,True,True,False,False,True,True,False,True,False,True,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,200
4.82,home,163,2.0,1.0,2.0,4.0,True,False,39.0341500000,-94.6422800000,4.80,4.90,4.90,4.90,5.00,4.70,True,True,True,True,True,True,False,True,False,True,True,True,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,241
4.92,rental unit ,13,2.0,2.0,2.0,6.0,False,False,39.2667200000,-94.6590600000,4.90,4.90,5.00,5.00,5.00,4.80,True,True,True,True,True,True,False,True,False,True,True,True,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,211
4.87,place,70,2.0,1.0,1.0,3.0,True,False,39.0439700000,-94.5908300000,4.90,4.90,5.00,5.00,4.70,4.80,True,True,True,True,True,True,False,True,False,True,True,True,True,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,205
4.92,Room,61,1.0,1.0,1.0,2.0,False,False,39.0921000000,-94.5856000000,5.00,4.90,4.90,5.00,4.90,4.80,True,True,False,False,True,True,False,True,False,True,True,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,207
4.97,home ,89,3.0,1.5,3.0,8.0,True,False,39.1094000000,-94.5535400000,5.00,5.00,5.00,4.70,5.00,4.90,True,True,True,True,True,True,False,True,False,True,True,True,False,True,True,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,183
4.53,rental unit,15,1.0,1.0,1.0,2.0,False,False,39.0558900000,-94.5846200000,4.60,4.90,4.90,4.70,4.30,4.50,True,True,True,True,True,True,False,True,False,True,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,103
4.94,Room,145,2.0,0.0,1.0,3.0,True,False,38.4625100000,-91.0778500000,4.90,4.90,5.00,5.00,5.00,4.90,True,False,False,True,True,True,False,True,True,True,True,False,True,False,True,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,143
4.90,Room,304,1.0,1.0,1.0,2.0,True,False,39.0506300000,-94.5748100000,4.90,4.90,5.00,4.90,5.00,4.80,True,False,True,True,True,True,False,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,208
4.79,home ,175,3.0,1.0,2.0,5.0,True,False,39.1714300000,-94.5504200000,4.80,4.90,4.80,4.60,4.90,4.70,True,True,True,True,True,True,False,True,False,True,True,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,165
4.79,Room,419,2.0,2.0,1.0,2.0,False,False,39.0526100000,-94.5758300000,4.80,4.90,4.90,4.90,4.90,4.90,True,True,False,True,True,True,False,True,False,True,True,True,True,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,49
4.77,vacation home,31,3.0,2.0,3.0,8.0,True,False,38.7557100000,-90.6884900000,4.60,4.80,4.90,4.90,4.90,4.60,True,True,True,True,True,True,False,True,False,True,True,True,False,True,True,False,False,False,True,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,364
4.89,home ,37,7.0,5.0,4.0,10.0,True,False,39.0584000000,-94.4337000000,4.90,5.00,5.00,4.60,5.00,4.70,True,True,True,True,True,True,False,True,True,True,True,True,False,True,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,"1,201"
4.79,home,87,3.0,2.5,3.0,10.0,True,False,39.2531000000,-94.4141000000,4.80,4.90,4.80,4.70,5.00,4.80,True,True,True,True,True,True,False,True,False,True,True,True,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,153
4.90,guest suite ,183,1.0,1.0,1.0,3.0,True,False,39.0194100000,-94.6951800000,4.90,4.90,5.00,4.90,5.00,4.90,True,True,False,False,True,True,False,True,False,True,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,96
4.87,townhouse ,360,2.0,2.0,2.0,6.0,True,False,39.1178200000,-94.7647200000,4.90,4.90,5.00,4.70,4.90,4.90,True,True,True,True,True,True,False,True,False,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,172
4.89,rental unit ,19,2.0,1.0,2.0,4.0,False,False,39.0535700000,-94.6133400000,4.60,5.00,5.00,4.70,5.00,5.00,True,True,True,True,True,True,False,True,False,True,True,True,True,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,140
4.91,Room,11,1.0,1.0,1.0,2.0,True,False,39.0479011500,-94.5815963700,5.00,5.00,4.90,5.00,5.00,4.80,True,True,False,False,True,True,False,True,False,True,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,159
4.67,home ,6,4.0,1.5,3.0,8.0,False,False,39.0378600000,-94.5864200000,4.70,4.70,4.80,4.80,4.70,4.50,True,True,True,True,True,True,False,True,False,True,True,True,True,True,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,467
5.00,home,4,2.0,1.0,2.0,4.0,False,False,39.0300339614,-94.6404917319,4.80,5.00,5.00,5.00,5.00,4.80,True,True,True,True,True,True,False,True,False,True,True,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,233
4.99,Room,109,1.0,1.0,1.0,2.0,False,False,39.0030300000,-94.5355300000,4.90,5.00,5.00,5.00,5.00,4.90,True,True,False,False,True,True,False,True,True,True,True,True,True,True,False,False,True,False,True,True,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,True,False,False,False,False,False,True,171
4.65,Room,66,1.0,1.0,1.0,2.0,False,False,39.0089400000,-94.5523300000,4.80,4.80,4.80,4.70,4.80,4.70,True,True,True,True,True,True,False,True,False,True,True,True,True,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,47
5.00,home,14,2.0,1.0,2.0,4.0,True,False,39.0275800000,-94.6459100000,5.00,5.00,4.90,5.00,5.00,5.00,True,True,True,True,True,True,False,True,False,True,True,True,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,292
4.86,Room,14,1.0,1.0,1.0,2.0,True,False,39.0479011500,-94.5815963700,5.00,4.90,4.60,5.00,5.00,4.70,True,True,False,False,True,True,False,True,False,True,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,171
4.87,Room,47,1.0,1.5,1.0,2.0,False,False,38.9454900000,-94.7086000000,4.90,4.90,5.00,5.00,5.00,4.90,True,True,True,True,True,True,False,True,False,True,True,True,False,True,True,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,80
4.98,home,46,5.0,3.0,3.0,8.0,True,False,38.9053200000,-94.7650400000,5.00,4.90,5.00,5.00,5.00,5.00,True,True,True,True,True,True,False,True,False,True,True,True,True,True,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,289
4.94,Room,269,1.0,1.0,1.0,2.0,False,False,38.9480400000,-94.6310600000,5.00,5.00,5.00,5.00,5.00,5.00,True,True,True,False,True,True,False,True,False,True,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,103
5.00,home ,3,1.0,1.0,2.0,5.0,False,False,38.9560800000,-94.4816600000,5.00,5.00,5.00,5.00,5.00,5.00,True,True,True,True,True,True,False,True,False,True,True,True,False,True,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,154
4.63,home,57,8.0,3.0,5.0,14.0,False,False,39.0283000000,-94.6704000000,4.50,4.70,4.70,4.60,4.80,4.60,True,True,True,True,True,True,False,True,False,True,True,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,296
4.93,Room,40,1.0,1.0,1.0,2.0,False,False,38.8925500000,-94.5221600000,5.00,4.90,4.90,4.60,4.90,4.80,True,True,False,False,True,True,False,True,False,True,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,84
4.35,rental unit,26,1.0,1.0,1.0,2.0,False,False,39.0572500000,-94.5850700000,4.70,4.50,4.60,4.40,4.40,4.30,True,True,True,True,True,True,False,True,False,True,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,103
4.96,home,23,1.0,1.0,1.0,4.0,True,False,38.9305500000,-94.5458600000,4.90,5.00,5.00,4.90,5.00,4.90,True,True,True,True,True,True,False,True,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,137
5.00,guest suite ,55,3.0,1.0,1.0,4.0,True,False,38.8926900000,-94.6004900000,5.00,5.00,5.00,4.90,5.00,4.90,True,True,True,True,True,True,False,True,False,True,True,True,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,187
4.92,home,85,4.0,2.0,3.0,6.0,False,False,38.9181600000,-94.5142400000,4.90,4.90,5.00,4.70,5.00,4.80,True,True,True,True,True,True,False,True,False,True,True,True,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,240
4.95,home,63,4.0,2.0,3.0,6.0,True,False,39.0233000000,-94.6812600000,4.90,4.90,5.00,5.00,5.00,4.90,True,True,True,True,True,True,False,True,False,True,True,True,True,True,True,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,258
4.91,guest suite,11,1.0,2.0,1.0,4.0,False,False,39.0118400000,-94.4468100000,4.90,4.80,5.00,4.70,5.00,4.90,True,True,True,False,True,True,False,True,False,True,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,120
4.38,condo ,16,1.0,1.0,1.0,2.0,False,False,39.0874900000,-94.5889000000,4.70,4.70,4.40,4.30,4.80,4.60,True,True,True,True,True,True,False,True,False,True,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,167
4.80,rental unit,323,4.0,1.0,2.0,6.0,False,False,39.0526900000,-94.6133800000,4.80,4.90,4.80,4.70,4.90,4.80,True,True,False,True,True,True,False,True,False,True,True,False,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,140
4.58,rental unit,36,1.0,1.0,1.0,4.0,False,False,39.0596300000,-94.5894600000,4.40,4.80,4.80,4.40,4.90,4.40,True,True,True,True,True,True,False,True,False,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,154
4.75,home ,16,2.0,1.0,2.0,6.0,True,False,39.0125300000,-94.6761900000,4.70,4.90,5.00,4.90,5.00,4.80,True,True,True,True,True,True,False,True,False,True,True,True,True,True,True,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,148
4.72,home ,191,2.0,1.0,2.0,6.0,False,False,39.0544900000,-94.6139300000,4.70,4.80,4.90,4.70,4.90,4.70,True,True,False,True,True,True,False,True,False,True,True,True,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,147
4.97,rental unit,191,2.0,1.0,1.0,4.0,True,False,39.0561500000,-94.5842100000,5.00,4.90,4.90,4.80,5.00,4.90,True,True,False,True,True,True,False,True,False,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,151
4.74,condo ,582,1.0,1.0,1.0,2.0,False,False,39.0459000000,-94.6009000000,4.70,4.80,4.90,4.90,4.90,4.80,True,True,True,True,True,True,False,True,False,True,True,False,False,True,True,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,137
4.74,Room,308,1.0,2.5,1.0,2.0,False,False,39.0996700000,-94.5497100000,4.70,4.80,4.90,4.40,4.90,4.80,True,True,True,True,True,True,False,True,False,True,True,False,True,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,48
4.95,rental unit ,151,2.0,1.0,2.0,5.0,True,False,39.2464100000,-94.4167300000,4.90,5.00,5.00,5.00,5.00,4.90,True,True,True,True,True,True,False,True,False,True,True,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,144
4.93,home ,504,2.0,1.0,2.0,6.0,True,False,39.1017100000,-94.5440800000,4.90,4.90,5.00,4.60,5.00,4.90,True,True,True,True,True,True,False,True,False,True,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,163
4.95,home ,20,2.0,1.5,2.0,4.0,True,False,39.0286500000,-94.7009100000,5.00,5.00,5.00,5.00,5.00,5.00,True,True,True,True,True,True,False,True,False,True,True,True,True,True,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,175
4.87,home,71,3.0,1.0,3.0,6.0,True,False,39.0486700000,-94.6064000000,4.80,4.90,4.90,4.80,5.00,4.80,True,True,True,True,True,True,False,True,False,True,True,True,True,True,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,223
4.32,condo ,99,2.0,1.0,2.0,5.0,False,False,39.0482300000,-94.6009500000,4.40,4.50,4.60,4.60,4.70,4.30,True,True,False,True,True,True,False,True,False,True,True,True,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,163
4.64,rental unit,148,1.0,1.0,1.0,2.0,False,False,39.1048000000,-94.5840000000,4.70,4.80,4.80,4.90,4.60,4.70,True,True,False,True,True,True,False,True,False,True,True,False,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,133
4.60,home ,121,3.0,1.0,3.0,8.0,False,False,39.0439000000,-94.4717000000,4.50,4.70,5.00,4.90,4.90,4.60,True,True,False,True,True,True,False,True,False,True,True,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,159
4.28,rental unit ,50,1.0,1.0,1.0,2.0,False,False,39.0574600000,-94.5863500000,4.50,4.50,4.20,4.50,3.80,4.30,True,True,True,True,True,True,False,True,False,True,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,103
4.93,rental unit ,60,2.0,1.0,1.0,4.0,True,False,39.0491200000,-94.6026100000,4.90,4.80,5.00,4.70,5.00,4.90,True,True,False,False,True,True,False,True,False,True,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,144
4.94,Room,34,1.0,1.0,1.0,2.0,False,False,39.0443900000,-94.5699100000,4.90,4.90,4.90,4.80,5.00,4.90,True,True,True,True,True,True,False,True,False,True,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,70
4.98,rental unit ,96,2.0,1.0,2.0,4.0,True,False,39.0511400000,-94.6019200000,5.00,5.00,5.00,5.00,5.00,5.00,True,True,True,True,True,True,False,True,False,True,True,True,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,154
4.92,rental unit ,13,3.0,1.0,2.0,6.0,True,False,38.7816000000,-90.4814300000,5.00,4.80,5.00,4.80,4.90,4.90,True,True,True,True,True,True,False,True,False,True,True,True,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,217
4.96,home ,27,1.0,1.0,1.0,2.0,True,False,39.2070900000,-94.5488400000,5.00,5.00,5.00,5.00,5.00,5.00,True,True,True,True,True,True,False,True,False,True,True,True,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,130
4.98,rental unit,126,3.0,1.0,2.0,5.0,True,False,39.2465700000,-94.4182700000,4.90,5.00,5.00,4.90,5.00,4.90,True,True,False,True,True,True,False,True,False,True,True,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,126
4.58,condo,106,2.0,1.0,2.0,5.0,False,False,39.0470100000,-94.5937800000,4.70,4.70,4.70,4.90,4.80,4.50,True,True,False,True,True,True,False,True,False,True,True,True,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,156
4.59,rental unit ,98,1.0,1.0,1.0,2.0,False,False,39.0659200000,-94.5875000000,4.30,4.80,4.80,4.70,4.90,4.70,True,True,False,True,True,True,False,True,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,91
4.96,townhouse ,126,2.0,2.0,2.0,6.0,True,False,39.1172500000,-94.7645100000,4.90,5.00,5.00,4.90,5.00,4.90,True,True,True,True,True,True,False,True,False,True,True,True,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,165
4.97,home,148,4.0,1.0,2.0,6.0,True,False,39.2439000000,-94.4312000000,4.90,5.00,5.00,5.00,5.00,4.90,True,True,True,True,True,True,False,True,False,True,True,True,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,131
5.00,rental unit ,36,1.0,1.0,1.0,3.0,True,False,39.1026000000,-94.5835000000,5.00,5.00,5.00,5.00,4.90,5.00,True,True,True,True,True,True,False,True,True,True,True,False,False,True,True,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,226
4.78,home,50,2.0,1.0,2.0,5.0,False,False,39.0768100000,-94.5749200000,4.80,4.80,4.90,4.70,4.90,4.80,True,True,False,True,True,True,False,True,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,165
4.69,Room,16,1.0,1.0,1.0,2.0,True,False,39.0434600000,-94.5850300000,4.80,4.80,4.90,4.90,4.80,4.50,True,True,False,False,True,True,False,True,False,True,True,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,159
4.43,rental unit,35,1.0,1.0,1.0,2.0,False,False,39.1086000000,-94.5873000000,4.30,4.60,4.80,4.80,4.70,4.50,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,127
0.00,home ,0,2.0,1.0,1.0,4.0,False,True,39.1000000000,-94.5361000000,0.00,0.00,0.00,0.00,0.00,0.00,True,True,False,False,True,True,False,True,False,True,True,False,True,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,89
